#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
14816.0,13,12.260076
15312.0,14,12.2699
17384.0,15,12.279043
19083.0,16,12.289326
19549.0,17,12.298851
21066.0,18,12.308914
23252.0,19,12.31854
24812.0,20,12.329012
26713.0,21,12.33884
26918.0,22,12.348481
28037.0,23,12.359197
28438.0,24,12.369242
29737.0,25,12.378468
31827.0,26,12.38722
31979.0,27,12.395635
33494.0,28,12.404357
34026.0,29,12.412663
35905.0,30,12.421404
36016.0,31,12.430113
38129.0,32,12.43882
39391.0,33,12.447055
40644.0,34,12.457322
40960.0,35,12.467192
41842.0,36,12.477109
41878.0,37,12.487255
44053.0,38,12.496995
44392.0,39,12.507438
45586.0,40,12.517073
46983.0,41,12.527072
47722.0,42,12.536964
47938.0,43,12.545611
48755.0,44,12.554338
50294.0,45,12.562874
51741.0,46,12.571765
52602.0,47,12.581077
54775.0,48,12.591192
1805.0,1,12.600886
2741.0,2,12.609902
3933.0,3,12.618581
5980.0,4,12.627413
7672.0,5,12.635944
8751.0,6,12.645212
10224.0,7,12.654987
11997.0,8,12.664436
13728.0,9,12.674274
14763.0,10,12.684132
15679.0,11,12.69364
17641.0,12,12.702477
18496.0,13,12.711125
18897.0,14,12.720465
19106.0,15,12.729832
21252.0,16,12.739485
21534.0,17,12.748686
22416.0,18,12.758632
22652.0,19,12.768573
24073.0,20,12.7776
25257.0,21,12.786221
25438.0,22,12.794762
25721.0,23,12.803734
27722.0,24,12.812078
28304.0,25,12.820775
30222.0,26,12.829044
32228.0,27,12.837863
33938.0,28,12.846309
35224.0,29,12.854903
36037.0,30,12.863316
36785.0,31,12.872001
38394.0,32,12.880721
39345.0,33,12.889789
40067.0,34,12.89857
42047.0,35,12.907097
42616.0,36,12.915523
43534.0,37,12.92417
45407.0,38,12.932667
46932.0,39,12.941214
48750.0,40,12.949815
50368.0,41,12.958561
51837.0,42,12.967081
52848.0,43,12.975677
54267.0,44,12.984285
55698.0,45,12.993477
56746.0,46,13.002554
57974.0,47,13.012692
59463.0,48,13.023149
1340.0,1,13.032642
2876.0,2,13.042499
3618.0,3,13.051929
5704.0,4,13.06174
7146.0,5,13.071836
